did,url,title,body
20201020-102,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,The deficit depends on the species selected  the timing of termination and the seasonal conditions with rainfall during the cover crops growth. Mismanagement to let cover crop grow longer than needed for the level of cover needed for the intended fallow led to soil water deficits over 100 mm  ï· The net water gain at planting of the subsequent grain and cotton crops from these well- managed cover crops with appropriate species and termination timings for the planned fallow ranged from -30 mm to +38mm. Soil water to grow the cover crops was recovered at five sites  with net losses at three sites and net gains at three others.
20201020-18,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,The deficit depends on the species selected  the timing of termination and the seasonal conditions with rainfall during the cover crops growth. Mismanagement to let cover crops grow longer than required for the level of cover needed in the intended fallow led to soil water deficits over 100 mm  ï· The net water gain at planting of the subsequent grain and cotton crops from these well- managed cover crops with appropriate species and termination timings for the planned fallow ranged from -30 mm to +38mm. Soil water used to grow the cover crops was recovered at five sites  with net losses at three sites and net gains at three others.
20201020-17,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,cover crops can increase the net water accumulation of Plant Available Water in grain and cotton systems with low ground cover in the northern regionâ¦but not always! Regional  seasonal and industry differences with dryland and irrigated systems led to a range of results; ï· The net water cost to grow cover crops is between 40-60 mm for well-managed crops terminated by anthesis for maximum biomass.
20201020-101,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,Yes  cover crops can increase the net water accumulation of Plant Available Water in grain and cotton systems with low ground cover in the northern regionâ¦but not always! Regional  seasonal and industry differences with dryland and irrigated systems led to a range of results; ï· The net water cost to grow cover crops is between 40-60 mm for well-managed crops terminated by anthesis for maximum biomass.
20201020-148,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,The net water cost to grow cover crops is typically 40-60 mm. However  the additional cover protects soils in low cover fallows from erosion  and the rapid soil water recharge from the cover crop will maintain or even increase overall soil water accumulation for the next crop in 45-70% of years. Average net water benefits of 15-17 mm can be expected in these years for short and long fallows respectively.
20201020-63,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,Not planted  too dry - - - Croppa Ck (barley cover crops before pivot irrigated cotton): Not planted; lack of water 11 mm +20 mm 0 mm Parkes (short fallow systems with summer cover crops for grain) 24 mm -5 mm -63 mm Parkes (long fallow systems with summer cover crops for grain) 79 mm -14 mm -41 mm Canowindra (short-fallow system  summer cover crops for grain) 6 mm +8 mm -16 mm Canowindra (long-fallow system  summer cover crops for grain) -42 mm +14 mm +3 mm Yanco (cover crop systems under flood irrigation for cotton) Yanco (winter cover crops  short fallow flood irrigated cotton beds) 12 mm -6 mm -37 mm Soil water deficits to grow cover crops The net-water-deficit (cost) at termination of the cover crops varied with the growth stage  the species  their water use and the cover provided  and the season with differing amount and timing of rain while they grew (Figure 3  Figure 4).
20201020-157,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,Water use by the cover crop increases dramatically from flag leaf onwards. A typical net water deficit of 40-60 mm can rapidly grow to 100+ mm and be hard to recover in all but very wet seasons when spray-out is delayed too long. Agronomic recommendations ï· Plant as soon as possible in the new fallow period to maximise the time available to recharge the soil water after the cover crops are removed.
20201020-7,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,The best cover crop treatments recovered the 40-60 mm water deficit taken to grow them by the end of the fallow in most experiments  which modelling suggests may happen ~70% of years at Goondiwindi. While some cover crops stored up to 38mm extra plant available water  others lost water in some very dry seasons. It seems that cover crops can protect the soil from erosion in low cover fallows and maintain stored water in a majority of years.
20201020-132,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,Cover crops were successful in increasing ground cover over the fallow in all experiments. Across the six experimental sites cover crops had on average 40 mm less water than the bare fallow (range of 0 to 100 mm) at termination of the cover crop. Cover crops improved fallow efficiency after termination  GRDC Final Technical Report 22 so the best cover crop had more water than bare fallow at three of four sites when the following cash crop was planted.
20201020-21,http://agask.uqcloud.net/agotatorapi/resources/20201020.pdf,Quantifying the effectiveness of cover crops to increase water infiltration and reduce evaporation in the northern region,Yes; cover crops can improve fallow efficiency and accumulate 20 mm more Plant Available Water in some years  but not others. The 17 mm mean extra water accumulation noted above is close to the targeted 20 mm  and while both are at the extremes of statistical significance for our data  at a Water Use Efficiency of 15 kg/mm equates to 255 kg/ha wheat  right in the middle of the Bungunya collaboratorâs long-term cover cropping expectation of a 200-300 kg/ha yield benefit.
